Hearing Date,Case Number,Location,MVA Cluster,MVA Code,HDLC,NCDC,NCDC Adjusted,Vacant Lot,Vacant Lot Revised,Vacant Lot Code,Market Assessment,Market Code,Roof ,Roof Code,Exterior,Exterior Code,Foundation,Foundation Code,Overall Condition,Overall Condition Code,Character?,Character Code,Abatement Recommendation,Recommendation Code,Reviewer notes,Zipcode,GeoPIN,XPos,YPos,Potential Error in Lot Status?,Potential Error in Market Status,Reviewer
10/24/2013,13-07162-PNBL,10211 Hillwood St,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70127,41105119,3713195.469,556763.2092,0,0,AW
10/15/2013,12-11097-PNBL,10218 Seawood St,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70127,41103876,3713190.662,557367.9647,0,0,Demo
10/28/2013,13-04850-PNBL,10301  I-10 SERVICE RD,C,3,0,0,0,Yes,Yes,1,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,The violations were abated. However there are unpaid fees.,0,0,3711144.29,562385.8473,0,0,Demo
9/5/2013,13-04835-PNBL,11300 S Parkwood Ct,C,3,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,in compliance,70128,41103623,3716924.783,559068.8492,0,0,JN
7/23/2013,12-11477-PNBL,5319 Wilton Dr,E,5,0,0,0,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,4. Very Poor,4,2. Fair,2,3. Poor,3,0,N/A,Demolish,0,,70122,41083691,3681973.735,552690.1955,0,0,Demo
7/23/2013,12-12050-PNBL,8019 Lehigh St,E,5,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,2. Fair,2,2. Fair,2,3. Poor,3,No,0,Demolish,0,,70127,41114454,3709824.33,567024.541,0,0,AW
7/23/2013,12-12350-PNBL,2418 Madrid St,F,6,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70122,41073658,3685163.196,555357.3965,0,0,JN
7/23/2013,13-03848-PNBL,1320 St Maurice Ave,G,7,0,1,1,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70117,41124921,3700138.184,534055.6945,0,0,AW
10/8/2013,13-05801-PNBL,14111 Knightway Dr,C,3,0,0,0,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70128,41116393,3718564.426,570485.8509,0,0,JN
7/23/2013,CEHB-11-5007,4655 Haydel St,G,7,0,0,0,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70126,41094097,3699137.198,554025.2127,0,0,Demo
7/23/2013,13-04169-PNBL,3133 Metropolitan St,H,8,0,0,0,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70126,41090507,3691412.223,544084.5773,0,0,Demo
7/25/2013,13-00615-PNBL,1422-1424 Baronne St,C,3,0,1,1,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70113,41141851,3678522.292,526091.0154,0,0,Demo
7/25/2013,13-03149-PNBL,729 - 731 Sumner St,D,4,0,0,0,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,4. Very Poor,4,4. Very Poor,4,3. Poor,3,3. Poor,3,No,0,Demolish,0,,70114,41002624,3691119.372,528622.4531,0,0,Demo
10/28/2013,13-00301-PNBL,1523 Carondelet St,C,3,0,1,1,Yes,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,Occp.,70113,41142135,3678645.685,525634.5667,1,0,JN
7/25/2013,12-07373-PNBL,5401 Lafaye St,E,5,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,3. Poor,3,4. Very Poor,4,N/A,N/A,3. Poor,3,No,0,Demolish,0,,70122,41087030,3687400.958,553022.3821,0,0,Demo
10/21/2013,12-12944-PNBL,1818 Paul Morphy St,C,3,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1,Sell,1,REMODEL,70119,41079544,3679868.905,541640.5985,0,0,Demo
9/12/2013,13-04598-PNBL,29 S Oakridge Ct,C,3,0,0,0,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,1. Good,1,1. Good,1,1. Good,1,1. Good,1,N/A,N/A,Sell,1,,70128,41101928,3713878.44,567790.76,0,0,AW
10/24/2013,13-07070-PNBL,3679 Fairmont Dr,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70122,41076164,3685437.473,546081.6315,0,0,Demo
10/28/2013,13-05761-PNBL,40102 Curran Rd,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70128,41102094,3715792.352,569589.2537,0,0,Demo
10/21/2013,CEHB-11-6220,4240 Magnolia St,C,3,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,2. Fair,2,1. Good,1,2. Fair,2,N/A,N/A,Sell,1,,70115,41053440,3670919.189,524749.9082,0,0,DG
10/17/2013,13-01130-PNBL,"4400-4404 S Liberty St, 2234 Napoleon Ave",C,3,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70115,41056942,3670496.491,523272.7624,0,0,Demo
7/23/2013,12-10232-PNBL,4411 Alba Rd,C,3,0,0,0,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,2. Fair,2,1. Good,1,1. Good,1,No,0,Sell,1,,70129,41119471,3761778.783,572967.9862,0,0,Demo
10/3/2013,13-03761-PNBL,4440 Frenchmen St,C,3,0,0,0,Yes,Yes,1,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,There is a new case.#14-04511-MPM. There are multiple unpaid fees.,70122,41108706,3683487.906,549105.6748,0,0,Demo
10/22/2013,13-07152-PNBL,4486 St Roch Ave,C,3,0,1,1,No,No,0,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,3. Poor,3,3. Poor,3,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70122,41111614,3685280.523,549466.1136,0,0,JN
7/23/2013,12-11695-PNBL,4843 Ken Ct,C,3,0,0,0,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,No,0,Sell,1,,70131,41143456,3702087.352,518445.2626,0,0,Demo
7/23/2013,12-11151-PNBL,4943 Venus St,C,3,0,1,1,N/A,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,2. Fair,2,3. Poor,3,2. Fair,2,Yes,1,Sell,1,,70122,41086494,3686521.272,551275.2686,0,0,AW
10/3/2013,13-06367-PNBL,4949 Maid Marion Dr,C,3,0,0,0,No,No,0,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,2. Fair,2,1. Good,1,2. Fair,2,Yes,1,Sell,1,There are unpaid fees.,70128,41105289,3716949.559,557969.7864,0,0,DG
10/3/2013,13-05377-PNBL,4979 Marigny St,C,3,0,1,1,Yes,Yes,1,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,vacant lot,70122,41087507,3684418.856,551352.0366,0,0,DG
10/29/2013,12-08311-PNBL,5101 Perlita St,C,3,0,0,0,No,No,0,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,3. Poor,3,3. Poor,3,3. Poor,3,Yes,1,Sell,1,,70122,41106198,3678658.383,551023.4491,0,0,DG
9/12/2013,13-05476-PNBL,5606 Stillwater Dr,C,3,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,1. Good,1,1. Good,1,1. Good,1,N/A,N/A,Sell,1,vacant lot,70128,41104047,3716193.423,561131.7691,0,0,DG
9/5/2013,12-10859-PNBL,56434 Veronese Rd,C,3,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70129,41119155,3762952.464,574006.1556,0,0,AW
10/17/2013,13-06524-PNBL,5644 Tullis Dr,C,3,0,0,0,No,No,0,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,"There is a new case,#14-0665-MPM. All previous fees have been paid. The current violations could be reoccurring violations.",70131,41138734,3704841.573,512525.8058,0,0,Demo
9/12/2013,CEHB-11-6107,5735 Pratt Dr,C,3,0,0,0,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70122,41082796,3680360.989,553892.4096,0,0,JN
10/3/2013,CEHB-11-4569,5805 E Deer Park Blvd,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70127,41113910,3712597.279,561004.6349,0,0,Demo
9/23/2013,13-02960-PNBL,5866 Rhodes Ave,C,3,0,0,0,,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,1. Good,1,2. Fair,2,1. Good,1,1. Good,1,Yes,1,Sell,1,,70131,41134379,3705233.355,519519.4514,0,0,Demo
10/31/2013,13-07277-PNBL,5951 Milne Blvd,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,BAD ADDRESS,70124,41011471,3667189.099,547014.2538,0,0,JN
10/31/2013,13-07274-PNBL,6311 Oxford St,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70131,41130278,3707486.622,519664.2056,0,0,Demo
10/31/2013,CEHB-12-1054,6492 Bellaire Dr,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,"VIOLATIONS ABATED
LEINS PAID",70124,41024491,3664346.601,551234.4522,0,0,JN
10/8/2013,13-06426-PNBL,6540 Pontchartrain Blvd,C,3,0,0,0,No,No,0,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,Occupied Dwelling.,70124,41026396,3666217.675,551675.4739,0,0,DG
9/24/2013,12-10672-PNBL,6680 Bellaire Dr,C,3,0,0,0,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70124,41195144,3664438.082,552669.1584,0,0,Demo
10/10/2013,CEHB-11-3447,7241 Wayside Dr,C,3,0,0,0,Yes,Yes,1,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,Fees have been paid.,70128,41102492,3717163.036,568597.7562,0,0,DG
10/10/2013,12-09757-PNBL,7449 Primrose Dr,C,3,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,VACANT LOT,70126,41095347,3701998.453,560813.1466,0,0,JN
10/24/2013,12-10952-PNBL,7610 Branch Dr,C,3,0,0,0,No,No,0,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70128,41102569,3714755.307,568547.9332,0,0,DG
9/12/2013,13-04697-PNBL,805-807 Foucher St,C,3,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70115,41044286,3674560.375,518350.9452,0,0,JN
